"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"2022","3","A","골목상권","2110032","수족관거리","12","554","38","0","0","0","197","237","158","0","0","0","0","31","128386863"
"2022","3","A","골목상권","2110033","창신역 4번","168","2246","1523","220","0","0","194","724","380","57","724","840","1070","55","232883691"
"2022","3","A","골목상권","2110034","창신1동주민센터","33","1151","723","274","0","0","269","396","335","25","4","308","811","47","241767940"
"2022","3","A","골목상권","2110035","동묘앞역 2번","251","3612","1281","159","0","0","1300","1128","697","62","296","510","1059","52","199754323"
"2022","3","A","골목상권","2110036","동묘앞역 3번","59","2032","1099","403","0","0","1078","310","191","34","54","612","1255","46","233152436"
"2022","3","A","골목상권","2110037","신설동역 12번","228","2380","954","49","0","0","382","1040","630","64","195","335","737","53","197943186"
"2022","3","A","골목상권","2110038","경향신문사","4","156","212","31","36","6","0","0","0","36","0","0","405","79","1225407151"
"2022","3","A","골목상권","2110039","회현역 1번","28","302","146","162","325","301","40","137","166","30","32","56","775","83","390039683"
"2022","3","A","골목상권","2110040","중구회현체육센터(정화예술대남산캠퍼스)","33","658","159","164","325","301","40","489","173","37","37","56","775","80","365301309"
"2022","3","A","골목상권","2110041","남산케이블카","22","553","145","114","225","209","32","421","130","35","35","52","541","71","352376337"
"2022","3","A","골목상권","2110042","남산골공원옆","62","736","78","51","9","7","313","366","80","67","36","10","9","51","197517224"
"2022","3","A","골목상권","2110043","충무초등학교","146","2206","168","93","106","1","908","880","447","61","4","11","263","38","136867200"
"2022","3","A","골목상권","2110044","관성묘","133","1624","72","7","3","0","898","534","223","47","3","1","0","36","122716485"
"2022","3","A","골목상권","2110045","동대문역사문화공원역 5번","57","572","81","20","4","37","170","275","175","48","7","1","38","57","288874292"
"2022","3","A","골목상권","2110046","버티고개","307","2347","430","353","134","63","442","1578","316","192","67","83","649","63","213191373"
"2022","3","A","골목상권","2110047","다산성곽길","315","2074","414","95","48","90","387","1358","602","213","63","20","78","63","207373251"
"2022","3","A","골목상권","2110048","장충동주민센터","175","1354","334","48","15","81","235","731","586","154","29","5","92","60","265878752"
"2022","3","A","골목상권","2110049","장충단 고개","175","1250","592","68","17","88","169","645","608","209","43","4","337","67","290638463"
"2022","3","A","골목상권","2110050","약수역 7번","240","2972","1921","577","33","25","246","1173","604","153","41","353","2958","62","297830552"
"2022","3","A","골목상권","2110051","한양공고앞 교차로","100","984","182","20","0","5","119","611","377","61","18","2","3","51","202240710"
"2022","3","A","골목상권","2110052","장충초등학교","195","1453","510","85","45","64","213","760","709","226","53","7","189","60","271767105"
"2022","3","A","골목상권","2110053","청구역 1번","128","933","668","148","31","6","140","463","412","174","202","24","371","57","266725275"
"2022","3","A","골목상권","2110054","청구역 3번","195","1982","1042","491","32","3","174","736","627","190","97","358","1368","59","274764283"
"2022","3","A","골목상권","2110055","황학동벼룩시장","40","1076","661","315","104","29","283","396","203","95","14","266","928","46","230156712"
"2022","3","A","골목상권","2110056","신당역 3번","169","3292","3215","950","253","4","126","793","681","533","412","1143","4026","66","444616715"
"2022","3","A","골목상권","2110057","황학코아루아파트","51","1873","884","254","103","4","53","543","481","374","27","220","1420","57","456805364"
"2022","3","A","골목상권","2110058","성심여자고등학교","237","2487","1969","981","125","2","60","462","792","472","150","697","2931","60","378951922"
"2022","3","A","골목상권","2110059","새남터성지","88","1542","1077","281","4","1","1","6","50","264","395","135","2054","63","566512278"
"2022","3","A","골목상권","2110060","효창공원앞역 6번","354","3354","2043","836","11","0","62","753","1210","668","184","88","3279","56","340659891"
"2022","3","A","골목상권","2110061","효창동주민센터","285","2771","2328","1133","118","29","54","724","957","516","276","202","3650","64","385735238"
"2022","3","A","골목상권","2110062","한강로동땡땡거리(은행나무길)","68","1063","858","191","280","106","0","67","57","143","233","116","1882","64","619770079"
"2022","3","A","골목상권","2110063","효창공원앞역 5번","259","2675","1345","350","90","8","57","668","1201","482","168","48","1844","51","344490985"
"2022","3","A","골목상권","2110064","효창공원앞역 2번","350","3038","1059","169","50","29","95","946","1546","670","273","75","740","54","287871244"
"2022","3","A","골목상권","2110065","남정초등학교","98","1187","605","273","86","8","3","325","572","165","38","15","1041","48","376451810"
"2022","3","A","골목상권","2110066","서울역 15번","287","1558","847","31","6","3","56","706","831","258","122","88","384","54","260550754"
"2022","3","A","골목상권","2110067","배문고등학교","472","2620","753","87","42","11","67","1154","1493","521","199","64","15","55","243282055"
"2022","3","A","골목상권","2110068","남영역 1번","242","2446","1602","738","207","43","119","647","1131","437","272","133","2297","56","343932249"
"2022","3","A","골목상권","2110069","숙대입구","375","2411","624","143","44","24","152","875","1442","529","157","42","49","58","257096585"
"2022","3","A","골목상권","2110070","용산세무서","24","428","385","656","761","167","0","58","4","2","0","4","2329","104","1285376836"
"2022","3","A","골목상권","2110071","한강미주맨션아파트","62","972","963","844","568","673","0","0","0","4","7","20","3989","122","1394893562"
"2022","3","A","골목상권","2110073","삼각지역 3번","39","524","354","117","0","0","0","70","308","62","79","42","434","46","398420873"
"2022","3","A","골목상권","2110074","서울역 12번","221","1352","650","237","228","117","16","250","664","471","329","92","762","65","362758519"
"2022","3","A","골목상권","2110075","숙대입구역 1번","153","814","479","154","122","39","3","192","374","371","311","87","270","62","359878212"
"2022","3","A","골목상권","2110076","삼각지역 14번","21","190","186","177","260","10","0","16","70","35","63","39","600","61","537472973"
"2022","3","A","골목상권","2110077","삼광초등학교","261","1419","789","197","194","99","47","372","784","626","365","137","367","67","341125669"
"2022","3","A","골목상권","2110078","이촌동점보아파트","51","683","739","1884","530","422","0","0","0","0","0","0","4258","118","1448375722"
"2022","3","A","골목상권","2110079","후암동주민센터","476","2812","1035","209","166","103","101","1062","1351","837","326","124","524","61","282352467"
"2022","3","A","골목상권","2110080","해방촌예술마을","414","2284","539","68","42","14","112","1066","1154","452","85","47","31","55","234510802"
"2022","3","A","골목상권","2110081","해방촌 남동측","394","2116","590","21","111","13","121","1016","841","193","43","92","545","53","253459218"
"2022","3","A","골목상권","2110082","용산구청","60","317","120","43","30","31","5","57","70","153","132","66","58","73","415134452"
"2022","3","A","골목상권","2110083","서빙고역 1번","102","447","416","54","270","287","3","42","30","33","39","70","1257","63","826162674"
"2022","3","A","골목상권","2110084","경리단길북측","377","1711","774","168","200","91","93","706","734","399","172","147","693","68","333246596"
"2022","3","A","골목상권","2110085","경리단길남측","245","948","530","211","249","159","32","272","465","358","217","184","569","86","432738610"
"2022","3","A","골목상권","2110086","이태원역 북측","212","700","463","205","160","194","31","255","292","327","211","135","471","91","463285451"
"2022","3","A","골목상권","2110087","이태원엔틱가구거리","78","384","114","232","242","232","5","57","55","145","130","80","732","73","605214479"
"2022","3","A","골목상권","2110088","오산고등학교","213","771","815","280","357","290","0","6","29","27","73","176","2202","75","887411713"
"2022","3","A","골목상권","2110089","서빙고동주민센터","163","750","499","75","104","2","3","44","36","35","26","138","1148","60","849875072"
"2022","3","A","골목상권","2110090","한국폴리텍대학서울정수캠퍼스","131","535","616","256","254","286","0","1","2","28","71","136","1709","80","895433272"
"2022","3","A","골목상권","2110091","리움미술관","63","205","261","103","75","417","1","73","56","77","57","59","738","115","1101073841"
"2022","3","A","골목상권","2110092","NH농협은행 보광동지점","254","1069","701","176","104","119","1","1","4","42","147","297","1677","59","749052522"
"2022","3","A","골목상권","2110093","우사단길","399","1577","736","276","226","112","1","70","37","102","353","471","1893","62","718670287"
"2022","3","A","골목상권","2110094","오산중학교","64","299","605","25","14","6","0","0","3","6","14","78","848","67","945391224"
"2022","3","A","골목상권","2110095","한강진역 3번","206","728","714","184","171","535","2","171","164","145","261","221","1368","93","832109000"
"2022","3","A","골목상권","2110096","한남힐사이드아파트","65","293","256","40","24","99","2","94","155","119","51","16","275","86","465866161"
"2022","3","A","골목상권","2110097","한남초등학교","51","573","377","74","31","193","1","104","84","210","79","69","701","109","1426406830"
"2022","3","A","골목상권","2110098","서울독일학교","146","667","407","265","243","950","0","75","93","212","128","121","1903","161","1964746204"
"2022","3","A","골목상권","2110099","유엔빌리지길","190","1082","968","488","395","1139","15","86","123","272","194","457","2925","147","1687047004"
